,price,area,zone,category,age,floor,rooms,out,conservation,baths,garage,elevator,streetcategory,heating,storage
1,228000,75.30999756,Z45,4B,33,3,5,E100,2B,1,0,1,S3,3A,0
2,409000,100.6500015,Z31,3B,5,7,5,E50,1A,2,1,1,S5,4A,1
3,2.00E+05,88.87000275,Z52,3A,14,8,5,E50,1A,2,0,1,S2,3A,0
4,180000,62.61000061,Z62,4A,41,3,4,E50,2A,1,0,0,S3,1A,0
5,443600,146.1499939,Z31,3A,22,6,7,E100,1A,2,0,1,S4,4A,1
6,173000,77.20999908,Z11,4B,35,4,5,E50,1A,1,0,0,S4,3A,1
7,245000,77.04000092,Z47,3A,14,6,4,E50,1A,1,0,1,S3,4A,1
8,210000,62.90000153,Z48,3B,36,3,4,E100,3A,1,0,0,S3,3A,1
9,188982.23,58.47999954,Z11,4B,37,4,4,E25,2A,1,0,0,S4,3A,1
10,193000,59.15999985,Z11,3B,11,5,4,E50,1A,1,0,0,S4,3A,1
11,333000,111.4000015,Z37,4B,36,6,6,E50,2B,2,0,1,S2,4A,1
12,224000,66.12000275,Z48,4B,10,3,5,E100,1A,1,0,0,S3,3A,1
13,560000,155.8999939,Z21,2B,7,4,6,E100,1A,2,1,1,S4,3B,1
14,214400,69.02999878,Z36,4B,9,2,5,E100,1A,1,0,1,S4,3A,1
15,268000,86.26999664,Z61,3B,14,6,5,E100,1A,1,0,1,S4,3A,1
16,230000,64.58000183,Z37,3B,10,4,4,E50,1A,1,0,0,S2,3A,0
17,207500,67.68000031,Z48,3B,31,4,4,E100,1A,1,0,0,S3,3A,1
18,254000,82.11000061,Z61,3B,25,4,5,E100,2B,1,0,1,S4,3A,1
19,221000,86.44999695,Z46,4A,16,2,5,E100,2A,1,0,1,S3,3A,1
20,360500,108.7399979,Z43,3A,14,3,5,E75,1A,2,1,1,S3,4A,1
21,250000,74.79000092,Z45,3B,16,4,5,E50,1A,1,0,1,S3,3A,1
22,380000,103,Z37,3B,15,3,6,E50,1A,1,1,1,S3,3A,1
23,338000,106.1500015,Z56,3A,4,2,5,E100,1A,2,0,1,S3,3A,1
24,372000,115.5899963,Z44,3B,17,4,6,E100,1A,2,1,1,S4,3A,1
25,290000,93.05999756,Z53,3A,10,8,5,E100,1A,2,0,1,S3,3A,1
26,270000,78.72000122,Z36,3B,18,9,5,E50,1A,1,0,1,S4,3A,1
27,330000,94.52999878,Z56,2B,7,3,4,E100,1A,2,1,1,S3,3A,1
28,340000,121.5100021,Z46,3B,31,6,6,E100,2B,2,0,1,S3,4A,1
29,270000,86.8199997,Z53,3A,14,7,5,E100,1A,2,0,1,S3,3A,1
30,258000,71.80000305,Z32,3B,12,2,4,E50,1A,1,0,1,S3,3A,1
31,407000,187.9100037,Z31,4A,38,3,6,E50,2B,1,0,1,S5,4A,1
32,178000,53,Z62,4B,59,3,4,E50,2B,1,0,0,S3,1A,0
33,333000,91.88999939,Z41,3B,14,5,5,E100,1A,2,1,1,S4,4A,1
34,403000,118.8600006,Z41,3A,25,5,6,E100,1A,2,1,1,S4,4A,1
35,204000,62.15000153,Z62,3B,13,3,5,E50,1A,1,0,0,S3,3A,0
36,198000,59,Z41,4B,25,5,4,E100,1A,1,0,0,S3,3A,1
37,330500,110.7099991,Z61,3A,18,5,5,E100,1A,2,1,1,S3,4A,1
38,220000,60.33000183,Z41,4A,31,2,4,E100,2B,1,0,0,S3,3A,1
39,373000,103.7200012,Z37,3A,29,3,5,E50,1A,2,1,1,S2,4A,1
40,230000,64.94000244,Z45,3A,35,6,5,E50,2B,1,0,1,S3,3A,1
41,278000,85.54000092,Z41,3A,11,3,5,E100,1A,2,0,1,S2,3A,1
42,281500,94.95999908,Z37,4B,21,3,5,E50,1A,1,0,0,S2,3A,1
43,227500,86.11000061,Z46,3A,14,7,5,E100,2A,1,0,1,S3,3A,1
44,178000,108.4400024,Z11,4B,118,3,5,E50,2B,1,0,0,S4,3A,1
45,269500,86.69000244,Z47,2B,14,5,5,E100,1A,2,0,1,S3,4A,1
46,292000,91.12000275,Z53,3B,8,5,5,E100,1A,2,0,1,S3,3A,1
47,235300,79.0699997,Z32,3B,10,3,4,E100,1A,1,0,1,S3,3A,1
48,426200,141.4799957,Z42,3A,13,5,5,E100,1A,2,1,1,S5,3A,1
49,188000,64.69999695,Z62,3B,14,5,4,E100,1A,1,0,0,S3,3A,0
50,326000,86.86000061,Z41,3B,15,4,5,E100,1A,2,1,1,S2,3A,1
51,429400,155.6799927,Z42,3A,14,5,6,E100,1A,2,0,1,S5,3A,1
52,215000,77.98999786,Z61,3B,16,8,5,E50,1A,1,0,1,S4,3A,0
53,168000,81.90000153,Z11,4A,26,2,4,E50,1A,1,0,0,S4,3A,0
54,308000,104.2699966,Z52,3A,7,2,5,E50,1A,2,1,1,S3,3A,1
55,345000,114.7799988,Z31,3B,16,4,5,E50,1A,2,1,1,S5,3A,1
56,390000,90.91999817,Z41,2A,10,3,5,E100,1A,2,1,1,S4,3B,1
57,382000,132.4199982,Z31,3B,31,5,6,E50,2B,2,0,1,S4,4A,1
58,343000,115.5899963,Z44,3B,16,5,6,E100,1A,2,1,1,S4,3A,1
59,210000,80.47000122,Z62,4A,22,5,5,E50,2B,1,0,0,S3,3A,1
60,290000,97,Z37,4A,37,5,5,E75,2A,1,0,0,S2,3A,0
61,260000,82.19999695,Z44,3B,11,2,4,E50,1A,1,0,1,S4,4A,1
62,184000,53.84000015,Z62,4B,59,4,4,E100,2B,1,0,0,S3,3A,1
63,270000,99.55000305,Z52,4A,11,12,5,E100,1A,2,0,1,S2,3A,0
64,329000,92.94000244,Z56,3A,7,3,5,E100,1A,2,1,1,S2,3A,1
65,226800,67.26000214,Z45,4A,20,5,5,E50,1A,1,0,0,S3,3A,1
66,240000,80,Z35,3B,20,2,5,E100,1A,1,0,0,S4,3A,0
67,291500,69.18000031,Z56,2B,9,7,4,E100,1A,1,1,1,S3,3A,1
68,351000,130.3699951,Z44,2B,30,12,6,E100,1A,2,0,1,S4,4A,0
69,331600,96.58999634,Z52,3A,8,2,5,E100,1A,2,1,1,S3,3A,2
70,280000,78.58000183,Z32,3B,25,3,5,E50,1A,1,0,1,S3,4A,1
71,256500,89.80000305,Z61,4A,16,3,4,E50,1A,1,0,1,S3,3A,1
72,282000,94.08999634,Z53,3B,8,3,5,E100,1A,2,0,1,S4,3B,1
73,294000,111.3700028,Z53,3B,19,10,5,E100,2B,2,1,1,S4,3A,1
74,314000,96.72000122,Z53,3A,11,4,5,E100,1A,2,0,1,S4,3A,1
75,347500,93.70999908,Z56,3A,8,4,5,E100,1A,2,2,1,S3,3A,1
76,249000,82.5699997,Z61,3B,25,8,5,E100,1A,1,0,1,S4,3A,1
77,334000,91.19000244,Z37,3A,18,5,4,E50,1A,2,0,1,S2,3A,1
78,286000,124.449997,Z52,3A,24,5,7,E50,1A,2,1,1,S2,3A,0
79,325000,105.5800018,Z56,3A,4,2,5,E100,1A,2,1,1,S3,3A,0
80,260000,83.18000031,Z21,4A,36,3,5,E50,2B,1,0,1,S4,3A,1
81,364000,127.3899994,Z37,3B,11,2,5,E50,1A,2,0,1,S2,3A,1
82,290000,81.97000122,Z43,3B,22,3,5,E100,2A,2,0,1,S3,4A,1
83,379500,109.199997,Z42,3A,13,5,5,E100,1A,2,1,1,S4,3A,1
84,270000,90.25,Z62,3A,14,2,5,E50,1A,2,0,1,S3,3A,0
85,246500,74.62999725,Z34,4A,17,5,5,E100,2A,1,0,1,S3,3A,1
86,310500,90.44999695,Z53,3A,6,3,5,E100,1A,2,0,1,S2,3A,1
87,218000,59.20999908,Z46,4A,18,3,5,E100,1A,1,0,1,S3,3A,0
88,233000,63.81000137,Z47,3B,11,8,4,E75,1A,1,0,1,S3,4A,1
89,253000,74.12999725,Z48,4A,13,2,5,E50,1A,1,0,1,S3,3A,1
90,327500,106.1500015,Z56,2A,5,4,5,E50,1A,2,1,1,S3,3B,1
91,296000,92.55999756,Z53,3B,15,2,5,E100,1A,2,0,1,S3,3A,1
92,275000,85.97000122,Z41,5A,15,6,6,E25,2B,1,0,1,S4,1A,0
93,275000,104.9199982,Z11,4A,96,5,4,E50,1A,1,0,0,S3,3A,0
94,199000,64.69000244,Z46,4B,24,5,4,E100,2A,1,0,0,S3,3A,1
95,257500,89.29000092,Z47,3A,11,5,5,E100,1A,2,0,1,S3,4A,1
96,2.00E+05,68.51000214,Z46,4B,26,5,5,E100,2B,1,0,0,S3,3A,0
97,392500,118.6800003,Z41,3A,15,2,5,E100,1A,2,1,1,S4,3A,1
98,232400,66.76999664,Z47,3B,15,3,5,E75,1A,1,0,1,S3,4A,1
99,262000,88.44000244,Z47,3B,18,5,5,E100,1A,2,1,1,S2,3A,1
100,277000,99.84999847,Z52,3A,8,9,5,E100,1A,2,0,1,S2,3A,0
101,270000,93.84999847,Z53,3A,11,3,5,E100,1A,2,0,1,S4,3A,1
102,273500,79.68000031,Z49,3B,10,5,5,E50,1A,2,0,1,S3,4A,1
103,398000,92.20999908,Z41,3A,10,2,5,E100,1A,2,1,1,S4,4A,1
104,258000,81,Z52,3B,15,8,5,E100,1A,1,1,1,S2,4A,1
105,270000,88.70999908,Z32,4A,34,6,5,E50,2B,1,0,1,S5,4A,0
106,340000,102.5999985,Z36,2B,9,3,4,E100,1A,2,0,1,S2,3A,1
107,340000,103.5100021,Z41,3A,12,5,5,E100,1A,2,1,1,S2,3A,1
108,240500,76.58000183,Z38,3B,23,3,5,E50,1A,1,0,0,S3,3A,1
109,273000,74.79000092,Z45,3B,10,4,4,E50,1A,1,1,1,S3,4A,1
110,255000,80.91999817,Z61,3B,11,8,4,E50,1A,1,0,1,S4,3A,1
111,297000,101.699997,Z35,4A,52,3,5,E50,2B,2,0,0,S4,3A,0
112,276000,86.8199997,Z53,3A,14,2,5,E100,1A,2,0,1,S3,3A,1
113,308000,73.11000061,Z21,3B,19,5,5,E100,2A,1,0,1,S4,3A,1
114,370000,115.3399963,Z56,2A,6,4,5,E50,1A,2,1,1,S3,3B,1
115,204000,77.5,Z45,4B,15,3,5,E50,2A,1,0,1,S3,1A,1
116,478000,134.1699982,Z21,3B,27,3,5,E50,1A,2,0,1,S3,3A,1
117,255000,87.33000183,Z47,3B,22,3,4,E100,2B,2,0,1,S3,4A,1
118,393000,94.33999634,Z21,3A,10,5,5,E50,1A,2,0,1,S3,4A,1
119,326000,97,Z41,3A,10,4,5,E100,1A,2,0,1,S5,3A,1
120,173000,63.59000015,Z62,4A,30,4,4,E100,1A,1,0,0,S3,3A,1
121,225000,76.61000061,Z32,3B,25,5,5,E50,1A,1,0,1,S2,3A,0
122,235000,90.19000244,Z52,3B,6,7,5,E100,1A,1,0,1,S2,3A,0
123,250000,73.04000092,Z61,4A,39,4,5,E50,2B,1,0,1,S3,4A,0
124,376000,103.9199982,Z31,3B,35,4,5,E50,1A,2,0,1,S4,4A,1
125,262500,85.12000275,Z49,4A,26,3,5,E50,2B,1,0,1,S2,3A,1
126,245700,70.70999908,Z31,3B,20,4,4,E50,1A,1,0,0,S5,3A,1
127,247500,73.98999786,Z36,3B,8,4,4,E100,1A,1,0,1,S4,3A,1
128,270000,91.76000214,Z52,3B,11,5,5,E100,1A,2,0,1,S2,4A,1
129,237000,81.94000244,Z34,3B,13,8,5,E100,1A,1,0,1,S2,3A,0
130,378000,104.0699997,Z42,3A,19,3,5,E100,1A,2,1,1,S4,3A,1
131,347000,106.5999985,Z36,3A,14,7,6,E100,1A,2,1,1,S2,3A,1
132,240000,71.05000305,Z62,3A,14,3,4,E100,1A,1,1,1,S3,3A,0
133,457000,142.1799927,Z42,3A,14,4,6,E100,2A,2,1,1,S4,3A,1
134,269000,82.55000305,Z52,3A,25,12,5,E100,1A,2,0,1,S3,3B,1
135,348000,112.4700012,Z43,3A,26,2,5,E50,1A,2,1,1,S4,3B,1
136,391000,90.91999817,Z41,2B,10,5,5,E100,1A,2,2,1,S4,3A,0
137,219500,71.08999634,Z45,4A,42,5,5,E50,3A,1,0,1,S3,3A,1
138,398000,87.44000244,Z41,3A,11,2,5,E100,1A,2,1,1,S4,4A,1
139,254000,78.37999725,Z32,4A,11,5,5,E50,1A,1,0,1,S3,3A,1
140,257500,80.33999634,Z45,3B,23,6,5,E50,2B,2,1,1,S4,3A,1
141,341000,95.83999634,Z43,3B,27,3,5,E100,1A,2,1,1,S4,4A,1
142,373000,106.0500031,Z21,3A,16,4,5,E100,1A,2,0,1,S3,4A,1
143,224000,79.20999908,Z38,4B,9,3,4,E100,1A,1,0,1,S3,3A,1
144,252000,104.7600021,Z47,3A,24,4,5,E100,1A,2,0,1,S3,4A,1
145,253500,71.26000214,Z37,3B,23,7,5,E100,1A,1,0,1,S2,3A,0
146,216000,75.13999939,Z32,3B,30,5,3,E50,2B,1,0,0,S4,3A,1
147,222000,76.54000092,Z36,4A,19,2,4,E50,1A,1,0,0,S4,3A,1
148,356000,130.3699951,Z44,2B,15,7,6,E100,1A,2,0,1,S4,4A,0
149,207000,63.02999878,Z45,4A,40,6,4,E50,2A,1,0,1,S3,3A,1
150,293000,104.5299988,Z52,3A,10,4,5,E50,1A,2,0,1,S3,3A,1
151,210000,80.44000244,Z46,4B,37,2,5,E100,2B,1,0,1,S3,1A,0
152,396000,114.9100037,Z42,3A,11,7,5,E50,1A,2,1,1,S5,3A,1
153,193000,67.26999664,Z62,4A,14,3,5,E100,2A,1,0,0,S3,3A,1
154,303500,91.93000031,Z61,2B,13,4,5,E50,1A,2,1,1,S3,3A,1
155,354600,100.6399994,Z36,2B,22,6,5,E100,1A,2,1,1,S2,3A,1
156,247800,80.94000244,Z21,3B,11,5,4,E50,1A,1,0,1,S3,3A,1
157,287000,90.01999664,Z41,3A,15,4,5,E100,1A,2,0,1,S2,3B,1
158,256000,79.69000244,Z48,3B,20,2,5,E50,2A,1,0,1,S3,3A,1
159,220000,70.55999756,Z48,4B,11,5,4,E50,1A,1,0,0,S3,3A,1
160,252000,67.91000366,Z32,4B,46,5,4,E50,2B,1,0,1,S2,1A,0
161,410000,117.0500031,Z31,3A,27,4,6,E100,1A,2,0,1,S2,4A,1
162,325000,100.5,Z53,3B,11,10,5,E100,1A,2,0,1,S2,3A,1
163,160770,59.38000107,Z61,4B,52,1,5,E100,2B,1,0,0,S3,3A,0
164,268000,83.98999786,Z53,3A,11,8,5,E100,1A,2,0,1,S3,3A,1
165,285000,79.63999939,Z49,3A,21,2,5,E100,1A,1,0,1,S2,4A,1
166,343500,94.37000275,Z37,3A,18,2,6,E100,2A,1,0,1,S2,3A,1
167,295500,76.58999634,Z43,3B,28,4,4,E100,2B,1,0,1,S3,4A,1
168,302500,96.77999878,Z53,2B,7,5,5,E75,1A,2,0,1,S4,3A,1
169,250000,82.51000214,Z36,3B,21,4,4,E50,1A,1,0,1,S4,3A,1
170,294000,86.33999634,Z53,3B,18,10,5,E100,1A,2,0,1,S4,4A,1
171,308000,91.25,Z62,3A,9,4,5,E50,1A,2,0,1,S3,3A,1
172,204000,54.00999832,Z53,3B,11,7,3,E100,1A,1,0,1,S3,3A,0
173,243000,81.65000153,Z46,3B,16,8,5,E100,1A,2,0,1,S3,4A,1
174,231000,77.63999939,Z62,4A,18,4,5,E100,2B,1,0,1,S3,3A,1
175,265000,99.91999817,Z45,3B,24,2,6,E50,2B,1,0,1,S3,4A,1
176,309200,87.43000031,Z41,2B,14,2,5,E100,1A,2,0,1,S2,3A,1
177,280000,87.73999786,Z52,3A,19,2,5,E50,1A,2,0,1,S3,3A,1
178,295000,100.3099976,Z36,3B,21,3,5,E50,2B,2,0,1,S4,4A,1
179,288000,79.30000305,Z45,4A,13,2,5,E25,1A,1,0,1,S3,3A,1
180,222500,69.44000244,Z47,4A,27,6,5,E50,1A,1,0,1,S3,4A,1
181,193000,58.63000107,Z61,3B,19,4,5,E50,1A,1,0,0,S3,3A,1
182,260000,79.19999695,Z38,3A,10,5,5,E50,1A,1,0,1,S3,3A,0
183,262000,100.4400024,Z52,3A,7,3,5,E100,1A,2,0,1,S2,3B,1
184,360000,85.52999878,Z21,3A,39,3,4,E100,1A,2,0,1,S3,3A,0
185,455000,129.2400055,Z31,2A,13,8,6,E50,1A,2,0,1,S4,4A,1
186,433500,113.5100021,Z41,2B,8,4,5,E100,1A,2,1,1,S4,3B,1
187,334500,98.58000183,Z35,3B,18,3,5,E50,1A,1,0,1,S4,3A,1
188,185000,54.58000183,Z32,3B,13,3,5,E50,1A,1,0,0,S5,3A,0
189,262500,94.19999695,Z61,3B,19,2,5,E100,1A,1,0,1,S2,4A,1
190,366000,106.5999985,Z36,3B,19,2,6,E100,1A,2,1,1,S2,3A,1
191,277000,81,Z52,3B,8,5,5,E100,1A,2,0,1,S3,3A,1
192,320000,98.27999878,Z61,3B,22,5,5,E100,1A,2,1,1,S3,3A,1
193,223200,78.87000275,Z32,4A,13,2,5,E50,1A,1,0,0,S3,3A,1
194,260000,77.37999725,Z35,4A,19,4,5,E50,1A,1,0,1,S4,3A,0
195,320000,111.1100006,Z46,3A,20,7,6,E50,1A,2,0,1,S3,4A,1
196,271200,96.95999908,Z37,4B,20,4,5,E75,1A,1,0,0,S2,3A,1
197,271000,50.38000107,Z21,3A,16,3,3,E100,1A,1,0,1,S3,3A,1
198,170500,58.27999878,Z62,4B,25,1,4,E100,2B,1,0,0,S3,3A,1
199,261500,96.33000183,Z47,4A,17,5,4,E100,1A,2,1,1,S3,4A,1
200,231000,70.19999695,Z52,3B,16,11,5,E50,1A,1,0,1,S2,4A,1
201,262500,86.52999878,Z49,3A,16,4,5,E100,1A,2,0,1,S2,3A,1
202,236000,99.51999664,Z45,4A,26,8,5,E100,2B,1,0,1,S3,3A,1
203,155000,71.11000061,Z11,5A,77,2,5,E50,2B,1,0,0,S4,1A,0
204,220000,66.38999939,Z47,4A,21,6,4,E100,2B,1,0,1,S3,3A,1
205,249000,73.51000214,Z32,4B,20,4,4,E50,1A,1,0,0,S4,3A,1
206,183000,100.7099991,Z11,5A,93,4,4,E100,3A,1,0,0,S4,1A,0
207,285000,97.16000366,Z41,3A,13,2,5,E100,1A,2,1,1,S2,3A,1
208,228000,82.40000153,Z34,4A,21,3,5,E100,1A,1,0,1,S3,3A,1
209,220000,83.11000061,Z34,4A,17,8,5,E100,2A,1,0,1,S2,3A,0
210,215000,79.68000031,Z49,3B,13,5,4,E50,1A,1,0,0,S3,3A,0
211,210000,56.50999832,Z53,3A,18,3,4,E100,1A,1,0,1,S4,4A,1
212,187000,62.04000092,Z62,3B,13,4,4,E100,1A,1,0,0,S3,3A,1
213,225000,69.75,Z46,3B,1,6,5,E50,2A,1,0,1,S3,3A,1
214,215000,72.90000153,Z45,3B,18,3,4,E100,2A,1,0,0,S3,3A,1
215,340000,95.61000061,Z56,2B,8,6,5,E50,1A,2,1,1,S3,3A,1
216,280000,83.22000122,Z34,3B,29,7,5,E50,2B,1,1,1,S3,4A,1
217,224000,79.20999908,Z38,4A,6,3,4,E100,1A,1,0,1,S3,3A,1
218,237000,81.38999939,Z61,4B,20,2,4,E100,2B,1,0,1,S4,4A,1
219,575000,200,Z31,4A,38,3,6,E50,2B,1,0,1,S5,4A,1
